pop_change_cf_to_baseline_10,pop_change_cf_to_baseline_20,citygb
-3.35765847386091,-5.67494635870014,4405
-4.34025810548666,-7.46135446016711,4406
-2.32737885072212,-4.09519715262465,4407
-3.02191658544029,-5.38193305299803,4408
-1.45297318547188,-2.44865431611361,4409
-2.06084880548587,-3.59337845351262,4412
-1.99388318654534,-3.50702422605367,4413
-1.61457730511179,-2.69523680852184,4414
-3.0119498035631,-4.97323679830672,4415
-0.00642092768847746,0.0450449580892132,4416
-2.47708818006624,-4.32739466473795,4417
-3.30871936377664,-5.40465237661385,4419
-1.72456069442393,-2.91979812451939,4420
-2.67629997786165,-4.77442246323454,4451
-2.28863079229786,-4.13008256284177,4452
0.828351047321274,1.46998408512019,4453
-0.678791571573578,-1.09556679274365,4501
0.0681363986366867,0.170278719455941,4502
-0.122509512378155,-0.0964467488300924,4503
-0.391556599143428,-0.570822511371949,4504
-0.64563997411331,-1.05734250962504,4505
0.51578123694993,0.788573345853094,4506
-0.117146802067336,0.085269585157699,4507
0.672659179009993,1.56088211181564,4508
0.797814504866878,1.65405320817171,4509
3.61600602738442,7.00749778253184,4510
2.29285537914079,4.25303562333756,4511
6.38820077347906,11.8617613622263,4512
2.31596391769585,4.63893190466874,4513
5.44898484799193,10.029518639513,4514
-10.7560024838256,-15.7826849119834,4601
-6.02891775860468,-11.0883887724948,4602
-3.51688628543869,-6.94334031011237,4690
-0.198017676827877,-0.285525417264676,5001
-0.515355918083915,-0.857847094056607,5101
0.729789543817094,1.68302638890249,5103
-1.15128350196727,-1.87673705213571,5104
3.06985980407394,6.58141994903165,5105
1.59115374344648,3.48935598136094,5106
2.95766031676766,5.74013393312582,5107
3.08814350500832,6.15986556435367,5108
3.79561621055509,7.82945053374488,5109
0.290964101664559,0.837210578974856,5110
4.62853160116806,9.21986236347306,5111
0.923665657228323,2.24970294570458,5113
2.25470361079465,4.60225970297429,5114
-0.117099803549059,0.0396623751792724,5115
1.6343047967467,3.49805417480756,5116
-1.30180915618621,-2.11023510120516,5117
6.06223149800266,11.7722356364613,5118
0.494112848456818,1.36745495044075,5120
-2.33061512437276,-3.74913881836481,5132
2.63767277177216,5.2598266298228,5134
0.917605931078191,1.07042600061866,5201
-0.0696249291999962,0.217597249176049,5203
2.69812872094143,5.86962320853626,5204
1.25575476418304,2.08224270874316,5222
1.99529846113425,4.40757669020003,5223
2.26049775496929,4.69450858512167,5224
1.94679204133303,3.83350139938582,5226
1.65816962220532,3.38492856700581,5227
0.0257620086995369,0.140721779967445,5301
0.833456140092803,1.90542870950678,5303
1.86892988923262,3.84008453567811,5304
2.69691490922126,5.56433451829583,5305
1.81868285784117,3.76848178512884,5306
4.35377999801019,8.71451451881972,5308
2.25953719960221,4.74160026294449,5309
0.299830224979436,0.676487552555782,5323
0.291175626178719,0.689932597224108,5325
1.3778845658163,2.83446849306452,5326
7.04177317362777,13.5644212560713,5328
0.291790267405212,0.71612277490718,5329
2.65574599906672,5.24496328382984,5331
3.62344467682414,7.57930770371472,5334
-0.951712784861014,-0.763487418437614,5401
2.42635980412096,4.63621966300298,5421
0.258310138322027,1.26459847324939,5423
3.27401419916981,7.39822798786481,5424
2.54569356388599,5.83786261605835,5426
-0.167859749481414,-0.162476251923827,6101
5.8739610839476,9.0929512094673,6102
1.92244104914663,3.65324417255511,6103
0.311437084552169,0.536159101885214,6104
0.0205259877436581,0.428643662866279,6105
-0.893152076628012,-1.12737374932521,6106
2.61192070262608,5.73661569211625,6107
1.17578647026801,2.36346653518825,6108
5.17222138351088,9.97651646676987,6109
2.14292338613256,2.60378141845221,6110
3.17936437779778,6.73682318245048,6201
11.3191054135347,17.8496838097318,6202
6.8322222504037,11.3812964930324,6203
3.71591308322891,7.24935436236915,6204
2.0943208992612,4.4647316506911,6205
2.8290330312989,5.98811896465721,6206
4.49310807499954,8.62570810259353,6207
-1.46505543926048,-2.49840013719378,6208
13.8115771848095,24.4131148140369,6209
0.179744899347811,0.705487003643568,6210
-0.426017058111317,-0.246955261501114,6211
-1.38606287895535,-2.33664815678811,6212
1.22164797593933,2.77351431375777,6229
5.29308461945788,9.66578601425596,6301
6.41382241539417,12.3846115416964,6321
12.7250724899647,19.3934056383739,6322
10.1179318797073,18.4241279683397,6325
6.04799263504621,7.4944606725427,6328
18.6493032203884,32.9314156862748,6401
14.9660428095769,26.6806598073557,6402
4.05638534707908,8.37364323078697,6403
-1.74433582817122,-2.07163341386716,6404
2.75672768428741,6.38149974473427,6501
45.1280886286888,65.4019647763098,6502
17.3594833928146,32.2413163436865,6521
19.6834567411057,34.6275625366048,6522
11.0587902359964,19.1411258162351,6523
49.7729249839118,70.7769243224003,6527
10.1898958428533,19.993327083651,6528
5.20834540339654,10.7631158723649,6529
16.8040149070107,31.1976685652989,6530
-2.26606444057174,-2.14213828356153,6531
-1.79102615522848,-1.83563727043317,6532
3.84755958837552,8.17721359790993,6540
24.4918081275853,41.0836459706147,6543
